employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled,application_date,last_contact_date,last_contact_channel,plan_tier_requested,broker_channel,prior_year_enrolled,legacy_propensity_score,n_employees_region,hist_enrollment_rate_region,avg_salary_region,avg_premium_cost_usd,benefits_broker_rating,hr_outreach_capacity,open_enrollment_window_days,state_mandate_level
15895,49,Male,Married,88689.45,Contract,Midwest,Yes,0.3,1,2024-03-14,2024-02-18,Email,Gold,Direct,New Hire,0.99,2488,0.617,64921.46,595,4.4,469,18,High
18695,40,Female,Single,73376.29,Full-time,Midwest,Yes,1.1,1,2024-02-12,2024-01-30,Phone,Silver,Third-Party,Yes,0.928,2488,0.617,64921.46,595,4.4,469,18,High
11798,42,Female,Single,91841.05,Full-time,South,No,2.2,1,,2024-11-22,Phone,Premium,Direct,Yes,0.892,2424,0.628,65200.49,481,3.3,324,17,Medium
10762,25,Female,Single,53350.82,Contract,South,No,1.1,0,2024-05-03,2024-04-28,Email,Bronze,Direct,No,0.089,2424,0.628,65200.49,481,3.3,324,17,Medium
16591,54,Female,Married,43217.2,Part-time,South,No,17.3,0,2024-12-22,2024-12-15,Phone,Basic,Direct,No,0.219,2424,0.628,65200.49,481,3.3,324,17,Medium
11313,29,Female,Divorced,82902.23,Full-time,West,No,2.1,0,2024-07-27,2024-07-11,Email,Standard,Third-Party,New Hire,0.234,2582,0.613,65007.07,574,4.7,437,28,Low
19134,53,Male,Single,68290.83,Full-time,South,Yes,0.0,1,2024-11-08,2024-10-20,None,Standard,Third-Party,New Hire,0.847,2424,0.628,65200.49,481,3.3,324,17,Medium
12737,22,Male,Single,69281.89,Contract,Northeast,Yes,2.7,0,2024-03-21,2024-03-18,Unknown,Silver,Employer-Sponsored,New Hire,0.058,2506,0.612,65008.32,455,3.1,151,38,Low
12763,61,Male,Divorced,65070.74,Full-time,South,No,5.2,1,2024-06-18,2024-05-23,Unknown,Silver,Employer-Sponsored,No,0.793,2424,0.628,65200.49,481,3.3,324,17,Medium
14248,63,Female,Single,69519.46,Full-time,West,Yes,4.8,1,2024-02-25,2024-01-31,Email,Standard,Direct,Yes,0.96,2582,0.613,65007.07,574,4.7,437,28,Low
10066,35,Male,Married,57443.29,Contract,West,Yes,3.5,0,2024-06-21,2024-06-20,Email,Standard,Direct,No,0.233,2582,0.613,65007.07,574,4.7,437,28,Low
13874,61,Male,Married,113254.75,Full-time,Midwest,No,5.1,1,2024-06-03,2024-05-17,SMS,Gold,Employer-Sponsored,Yes,0.903,2488,0.617,64921.46,595,4.4,469,18,High
13878,42,Male,Divorced,58546.47,Full-time,Northeast,Yes,7.3,1,2024-02-15,2024-02-03,Phone,Standard,Direct,Yes,0.875,2506,0.612,65008.32,455,3.1,151,38,Low
14144,40,Female,Single,62569.39,Full-time,Northeast,Yes,6.8,1,2024-04-29,2024-04-06,Unknown,Standard,Employer-Sponsored,Yes,0.99,2506,0.612,65008.32,455,3.1,151,38,Low
12171,41,Female,Widowed,65657.44,Full-time,Midwest,No,1.6,1,2024-12-16,2024-11-29,Email,Standard,Direct,No,0.907,2488,0.617,64921.46,595,4.4,469,18,High
16079,46,Male,Single,61170.71,Full-time,Northeast,No,3.1,1,2024-07-18,2024-06-20,Email,Standard,Employer-Sponsored,New Hire,0.781,2506,0.612,65008.32,455,3.1,151,38,Low
13661,46,Male,Single,70732.44,Full-time,West,No,0.7,1,2024-06-17,2024-05-31,Phone,Standard,Third-Party,New Hire,0.789,2582,0.613,65007.07,574,4.7,437,28,Low
13004,44,Female,Single,50930.14,Full-time,Northeast,Yes,5.0,1,2024-11-11,2024-11-02,SMS,Basic,Direct,Yes,0.841,2506,0.612,65008.32,455,3.1,151,38,Low
17495,45,Female,Single,48989.45,Part-time,Midwest,No,1.6,0,2024-01-06,2023-12-22,Phone,Basic,Employer-Sponsored,No,0.011,2488,0.617,64921.46,595,4.4,469,18,High
16934,22,Female,Married,63067.76,Full-time,Midwest,Yes,2.6,1,2024-09-18,2024-08-30,Unknown,Standard,Third-Party,Yes,0.852,2488,0.617,64921.46,595,4.4,469,18,High
10602,27,Female,Married,91047.29,Full-time,Northeast,Yes,0.4,1,2024-10-07,2024-10-04,Phone,Premium,Third-Party,New Hire,0.815,2506,0.612,65008.32,455,3.1,151,38,Low
14706,43,Male,Divorced,56951.44,Full-time,South,No,6.4,0,2024-07-27,2024-07-07,Email,Standard,Employer-Sponsored,No,0.181,2424,0.628,65200.49,481,3.3,324,17,Medium
11498,48,Male,Married,66610.36,Full-time,Midwest,Yes,5.6,1,2024-09-24,2024-09-21,Email,Standard,Third-Party,Yes,0.802,2488,0.617,64921.46,595,4.4,469,18,High
11588,53,Female,Divorced,41881.23,Full-time,Northeast,Yes,3.2,1,2024-06-26,2024-06-01,None,Unknown,Direct,Yes,0.942,2506,0.612,65008.32,455,3.1,151,38,Low
18723,30,Male,Married,76917.01,Full-time,West,No,0.4,0,2024-10-30,2024-10-07,SMS,Standard,Third-Party,New Hire,0.011,2582,0.613,65007.07,574,4.7,437,28,Low
10949,58,Male,Married,68129.63,Full-time,South,Yes,1.0,1,,2024-07-24,Email,Silver,Employer-Sponsored,No,0.844,2424,0.628,65200.49,481,3.3,324,17,Medium
11986,23,Female,Single,50889.43,Full-time,Northeast,Yes,1.5,0,2024-12-13,2024-11-27,Email,Basic,Third-Party,No,0.107,2506,0.612,65008.32,455,3.1,151,38,Low
18135,39,Female,Married,44278.18,Full-time,West,No,6.8,0,2024-01-18,2023-12-29,SMS,Basic,Unknown,No,0.101,2582,0.613,65007.07,574,4.7,437,28,Low
10724,55,Female,Married,64447.2,Full-time,Midwest,Yes,2.1,1,2024-09-04,2024-08-15,Phone,Standard,Third-Party,Yes,0.866,2488,0.617,64921.46,595,4.4,469,18,High
12676,63,Female,Single,76132.08,Full-time,Midwest,No,1.0,1,2024-08-19,2024-07-22,Unknown,Silver,Employer-Sponsored,Yes,0.843,2488,0.617,64921.46,595,4.4,469,18,High
12653,57,Female,Single,74785.32,Contract,Northeast,Yes,0.3,1,2024-09-04,2024-09-03,Phone,Standard,Direct,New Hire,0.858,2506,0.612,65008.32,455,3.1,151,38,Low
18945,53,Male,Married,93148.9,Full-time,West,No,12.3,1,2024-03-26,2024-03-22,Phone,Premium,Employer-Sponsored,No,0.9,2582,0.613,65007.07,574,4.7,437,28,Low
17867,27,Male,Married,40032.33,Full-time,West,Yes,0.5,0,2024-11-22,2024-11-10,SMS,Basic,Direct,New Hire,0.195,2582,0.613,65007.07,574,4.7,437,28,Low
17103,25,Female,Married,58537.88,Contract,South,No,0.1,0,2024-10-14,2024-10-13,None,Standard,Direct,New Hire,0.152,2424,0.628,65200.49,481,3.3,324,17,Medium
12247,39,Male,Single,75638.22,Full-time,West,Yes,7.0,1,2024-03-11,2024-02-12,Email,Standard,Direct,Yes,,2582,0.613,65007.07,574,4.7,437,28,Low
16531,40,Female,Married,71782.68,Full-time,South,Yes,1.5,1,2024-04-19,2024-03-21,None,Standard,Employer-Sponsored,Yes,0.928,2424,0.628,65200.49,481,3.3,324,17,Medium
15297,37,Female,Married,46857.73,Full-time,West,Yes,2.5,1,2024-02-01,2024-01-09,Email,Basic,Direct,Yes,0.812,2582,0.613,65007.07,574,4.7,437,28,Low
18661,49,Male,Married,38545.55,Full-time,Northeast,No,0.0,0,2024-03-23,2024-03-28,None,Basic,Employer-Sponsored,New Hire,0.017,2506,0.612,65008.32,455,3.1,151,38,Low
16205,34,Male,Single,57849.89,Full-time,South,Yes,2.4,1,2024-04-10,2024-03-12,Phone,Standard,Employer-Sponsored,New Hire,0.867,2424,0.628,65200.49,481,3.3,324,17,Medium
17646,37,Female,Single,59583.51,Contract,Northeast,No,1.9,0,2024-11-08,2024-11-02,Email,Silver,Direct,Yes,0.158,2506,0.612,65008.32,455,3.1,151,38,Low
18556,36,Male,Married,62684.11,Contract,West,Yes,2.1,1,2024-06-03,2024-05-17,Phone,Standard,Employer-Sponsored,Yes,0.834,2582,0.613,65007.07,574,4.7,437,28,Low
12675,52,Male,Divorced,88264.12,Full-time,South,No,0.0,1,2024-11-22,2024-11-12,Email,Gold,Third-Party,New Hire,0.934,2424,0.628,65200.49,481,3.3,324,17,Medium
17301,32,Female,Married,43110.59,Full-time,Midwest,No,11.3,0,2024-03-13,2024-02-24,Email,Unknown,Third-Party,No,0.188,2488,0.617,64921.46,595,4.4,469,18,High
12285,64,Female,Single,41073.26,Full-time,West,Yes,14.2,1,2024-05-28,2024-05-19,Email,Unknown,Third-Party,New Hire,0.962,2582,0.613,65007.07,574,4.7,437,28,Low
13295,62,Female,Single,42866.8,Part-time,West,No,1.6,0,,2024-03-30,Phone,Unknown,Third-Party,No,0.115,2582,0.613,65007.07,574,4.7,437,28,Low
14415,58,Male,Single,68114.98,Part-time,Northeast,No,8.4,0,2024-11-16,2024-10-25,Email,Standard,Direct,No,0.23,2506,0.612,65008.32,455,3.1,151,38,Low
13946,38,Female,Married,50978.88,Full-time,Northeast,No,0.9,0,2024-11-03,2024-10-30,Unknown,Basic,Employer-Sponsored,New Hire,0.052,2506,0.612,65008.32,455,3.1,151,38,Low
12035,51,Male,Married,48227.28,Full-time,West,Yes,1.0,1,2024-07-03,2024-06-09,Phone,Bronze,Direct,Yes,0.964,2582,0.613,65007.07,574,4.7,437,28,Low
17150,53,Male,Single,52396.87,Part-time,West,Yes,0.0,0,2024-05-11,2024-05-07,Email,Unknown,Direct,New Hire,0.186,2582,0.613,65007.07,574,4.7,437,28,Low
19116,25,Male,Divorced,77921.7,Full-time,West,Yes,2.1,1,2024-05-14,2024-04-26,Phone,Standard,Third-Party,New Hire,0.941,2582,0.613,65007.07,574,4.7,437,28,Low
18649,50,Male,Married,73714.89,Full-time,South,Yes,1.7,1,,2024-12-27,SMS,Standard,Employer-Sponsored,New Hire,0.776,2424,0.628,65200.49,481,3.3,324,17,Medium
11437,26,Female,Married,53787.28,Full-time,Northeast,Yes,1.4,0,2024-06-20,2024-06-06,Phone,Basic,Unknown,New Hire,0.183,2506,0.612,65008.32,455,3.1,151,38,Low
15931,34,Male,Single,80452.1,Full-time,Midwest,Yes,2.5,1,2024-03-08,2024-03-02,Unknown,Standard,Employer-Sponsored,Yes,0.923,2488,0.617,64921.46,595,4.4,469,18,High
13855,48,Male,Divorced,59448.97,Full-time,West,No,7.5,0,2024-05-20,2024-05-15,SMS,Silver,Third-Party,Yes,0.211,2582,0.613,65007.07,574,4.7,437,28,Low
13621,30,Male,Single,89448.32,Full-time,Northeast,Yes,2.3,1,2024-10-21,2024-09-24,Email,Premium,Employer-Sponsored,Yes,0.99,2506,0.612,65008.32,455,3.1,151,38,Low
19727,43,Female,Single,84850.69,Part-time,Northeast,No,0.6,0,2024-05-04,2024-04-25,Email,Silver,Third-Party,New Hire,0.112,2506,0.612,65008.32,455,3.1,151,38,Low
13831,47,Male,Married,58138.72,Full-time,South,No,3.1,0,2024-11-06,2024-11-02,Phone,Standard,Employer-Sponsored,No,0.126,2424,0.628,65200.49,481,3.3,324,17,Medium
14445,51,Female,Married,63654.2,Part-time,West,Yes,3.8,1,2024-12-13,2024-11-14,Email,Silver,Direct,Yes,0.858,2582,0.613,65007.07,574,4.7,437,28,Low
13086,33,Male,Single,57694.01,Full-time,West,Yes,1.4,1,2024-12-06,2024-11-07,Email,Standard,Employer-Sponsored,Yes,0.876,2582,0.613,65007.07,574,4.7,437,28,Low
16243,27,Female,Single,86013.19,Full-time,West,Yes,1.8,1,2024-07-27,2024-07-13,Email,Premium,Employer-Sponsored,Yes,0.794,2582,0.613,65007.07,574,4.7,437,28,Low
19939,39,Male,Married,79371.02,Full-time,South,Yes,1.3,1,2024-10-13,2024-09-23,Phone,Standard,Employer-Sponsored,Yes,0.886,2424,0.628,65200.49,481,3.3,324,17,Medium
16387,28,Male,Married,79600.62,Contract,Midwest,No,9.5,0,2024-11-29,2024-11-06,Email,Standard,Direct,No,0.092,2488,0.617,64921.46,595,4.4,469,18,High
11593,55,Female,Single,73299.17,Full-time,Midwest,Yes,7.9,1,2024-12-10,2024-12-09,SMS,Standard,Employer-Sponsored,Yes,0.895,2488,0.617,64921.46,595,4.4,469,18,High
18838,57,Male,Widowed,71247.46,Full-time,Midwest,Yes,6.1,1,2024-01-04,2023-12-18,Phone,Standard,Employer-Sponsored,Yes,0.99,2488,0.617,64921.46,595,4.4,469,18,High
15513,61,Male,Single,60166.58,Part-time,Midwest,Yes,5.7,1,2024-11-02,2024-10-28,Unknown,Silver,Direct,Yes,0.958,2488,0.617,64921.46,595,4.4,469,18,High
17447,34,Female,Married,29783.99,Part-time,West,No,0.2,0,2024-09-10,2024-08-17,SMS,Basic,Third-Party,New Hire,0.213,2582,0.613,65007.07,574,4.7,437,28,Low
11173,28,Male,Married,63664.55,Full-time,West,Yes,1.1,1,2024-06-02,2024-05-16,None,Standard,Direct,Yes,0.823,2582,0.613,65007.07,574,4.7,437,28,Low
12322,58,Female,Married,75952.28,Part-time,South,No,6.8,0,2024-10-15,2024-09-16,Email,Standard,Direct,New Hire,0.134,2424,0.628,65200.49,481,3.3,324,17,Medium
19209,58,Female,Married,74228.83,Full-time,South,No,5.2,1,2024-08-07,2024-07-09,Phone,Standard,Employer-Sponsored,New Hire,0.932,2424,0.628,65200.49,481,3.3,324,17,Medium
17011,26,Male,Divorced,60457.89,Full-time,South,No,0.4,0,2024-04-30,2024-04-04,Email,Silver,Direct,New Hire,0.274,2424,0.628,65200.49,481,3.3,324,17,Medium
14320,22,Male,Divorced,70566.01,Full-time,Midwest,Yes,11.1,1,2024-04-13,2024-04-11,Unknown,Silver,Direct,Yes,0.941,2488,0.617,64921.46,595,4.4,469,18,High
10271,39,Female,Single,60141.53,Contract,South,No,5.8,0,2024-07-08,2024-06-13,Phone,Silver,Third-Party,No,0.148,2424,0.628,65200.49,481,3.3,324,17,Medium
17735,64,Male,Married,61364.91,Full-time,Northeast,Yes,12.0,1,2024-01-24,2024-01-14,Unknown,Standard,Third-Party,New Hire,0.849,2506,0.612,65008.32,455,3.1,151,38,Low
12999,55,Male,Single,77517.52,Full-time,Midwest,Yes,1.4,1,2024-12-03,2024-11-20,Email,Standard,Direct,Yes,,2488,0.617,64921.46,595,4.4,469,18,High
16772,31,Male,Married,74837.94,Part-time,West,No,1.6,0,2024-04-04,2024-03-13,Unknown,Standard,Employer-Sponsored,New Hire,0.286,2582,0.613,65007.07,574,4.7,437,28,Low
10012,45,Male,Married,84280.76,Contract,West,Yes,8.8,1,2024-05-04,2024-04-24,Email,Silver,Unknown,Yes,0.865,2582,0.613,65007.07,574,4.7,437,28,Low
12259,56,Female,Married,62117.69,Part-time,Midwest,Yes,6.7,1,2024-08-27,2024-08-26,Email,Standard,Unknown,Yes,0.795,2488,0.617,64921.46,595,4.4,469,18,High
13384,59,Female,Divorced,80974.83,Full-time,West,Yes,2.2,1,2024-01-01,2023-12-25,Unknown,Standard,Direct,Yes,0.879,2582,0.613,65007.07,574,4.7,437,28,Low
18669,37,Other,Divorced,91290.49,Full-time,South,Yes,0.6,1,2024-07-29,2024-07-25,Email,Premium,Direct,New Hire,0.768,2424,0.628,65200.49,481,3.3,324,17,Medium
11430,31,Female,Single,46514.85,Full-time,South,No,2.3,0,2024-09-13,2024-08-26,Email,Basic,Direct,Yes,0.093,2424,0.628,65200.49,481,3.3,324,17,Medium
12462,39,Male,Married,55242.66,Full-time,Midwest,Yes,0.0,1,2024-03-02,2024-02-21,Email,Silver,Employer-Sponsored,New Hire,0.987,2488,0.617,64921.46,595,4.4,469,18,High
13319,56,Male,Single,79831.64,Part-time,South,Yes,3.0,1,2024-01-20,2024-01-05,None,Silver,Employer-Sponsored,Yes,0.979,2424,0.628,65200.49,481,3.3,324,17,Medium
15298,39,Male,Divorced,61738.42,Full-time,Midwest,Yes,3.8,1,2024-10-19,2024-10-07,Email,Silver,Third-Party,No,0.792,2488,0.617,64921.46,595,4.4,469,18,High
17755,55,Female,Married,67323.43,Full-time,West,Yes,3.1,1,2024-04-04,2024-03-29,Phone,Standard,Third-Party,New Hire,0.857,2582,0.613,65007.07,574,4.7,437,28,Low
11236,58,Female,Married,68299.8,Full-time,South,Yes,8.9,1,,2024-02-05,Email,Silver,Employer-Sponsored,Yes,0.969,2424,0.628,65200.49,481,3.3,324,17,Medium
10676,42,Female,Married,54949.1,Full-time,South,Yes,6.9,1,,2024-06-11,Email,Bronze,Third-Party,No,0.99,2424,0.628,65200.49,481,3.3,324,17,Medium
12238,42,Male,Married,58045.8,Part-time,Northeast,No,1.6,0,2024-08-25,2024-08-06,None,Silver,Third-Party,New Hire,0.281,2506,0.612,65008.32,455,3.1,151,38,Low
18377,48,Female,Married,53034.69,Full-time,West,No,11.1,0,2024-03-12,2024-02-14,Email,Basic,Employer-Sponsored,New Hire,0.31,2582,0.613,65007.07,574,4.7,437,28,Low
15046,63,Male,Married,74421.47,Full-time,Midwest,Yes,4.5,1,2024-01-11,2023-12-26,Email,Standard,Employer-Sponsored,New Hire,0.857,2488,0.617,64921.46,595,4.4,469,18,High
13062,47,Male,Single,52431.55,Contract,Midwest,Yes,1.2,0,2024-06-29,2024-06-18,Email,Basic,Direct,No,,2488,0.617,64921.46,595,4.4,469,18,High
10037,30,Other,Married,51333.12,Full-time,Midwest,No,2.5,0,2024-03-31,2024-03-28,SMS,Basic,Third-Party,Yes,0.044,2488,0.617,64921.46,595,4.4,469,18,High
15293,57,Female,Single,91279.6,Full-time,South,Yes,1.3,1,2024-11-28,2024-10-31,SMS,Gold,Employer-Sponsored,Yes,0.955,2424,0.628,65200.49,481,3.3,324,17,Medium
17744,24,Male,Single,59075.9,Full-time,West,Yes,1.5,0,2024-04-05,2024-04-04,Email,Silver,Third-Party,No,0.086,2582,0.613,65007.07,574,4.7,437,28,Low
15171,24,Male,Single,73751.24,Part-time,South,No,3.2,0,2024-02-04,2024-01-23,Email,Silver,Employer-Sponsored,Yes,0.092,2424,0.628,65200.49,481,3.3,324,17,Medium
12036,32,Female,Married,76781.67,Full-time,Midwest,Yes,4.7,1,2024-04-23,2024-04-20,Email,Standard,Direct,Yes,0.877,2488,0.617,64921.46,595,4.4,469,18,High
15121,37,Male,Single,51797.76,Full-time,Midwest,Yes,0.2,1,,2024-09-19,Phone,Unknown,Direct,New Hire,0.88,2488,0.617,64921.46,595,4.4,469,18,High
11666,29,Male,Widowed,49629.87,Full-time,West,Yes,8.6,0,2024-10-01,2024-09-18,Unknown,Basic,Third-Party,No,0.212,2582,0.613,65007.07,574,4.7,437,28,Low
17427,57,Male,Married,62801.96,Part-time,South,No,0.0,0,2024-01-16,2024-01-02,Unknown,Standard,Third-Party,New Hire,0.062,2424,0.628,65200.49,481,3.3,324,17,Medium
14440,37,Female,Married,44270.29,Full-time,Midwest,Yes,6.7,1,2024-03-08,2024-02-11,Unknown,Basic,Employer-Sponsored,Yes,0.837,2488,0.617,64921.46,595,4.4,469,18,High
19241,49,Female,Married,82621.94,Contract,South,No,11.6,0,,2024-11-06,Email,Standard,Employer-Sponsored,No,0.233,2424,0.628,65200.49,481,3.3,324,17,Medium
17291,33,Male,Divorced,35440.96,Part-time,West,No,1.5,0,2024-08-31,2024-08-05,Email,Bronze,Employer-Sponsored,No,0.209,2582,0.613,65007.07,574,4.7,437,28,Low
10632,29,Male,Single,53971.78,Full-time,Midwest,No,6.8,0,2024-03-06,2024-02-13,Unknown,Basic,Direct,No,0.113,2488,0.617,64921.46,595,4.4,469,18,High
12308,37,Female,Single,45317.63,Full-time,South,Yes,14.2,1,2024-05-04,2024-04-13,Email,Bronze,Employer-Sponsored,Yes,0.825,2424,0.628,65200.49,481,3.3,324,17,Medium
17601,57,Female,Single,68610.63,Full-time,West,No,2.9,1,2024-07-19,2024-06-27,None,Standard,Direct,New Hire,,2582,0.613,65007.07,574,4.7,437,28,Low
18249,45,Male,Widowed,56693.37,Full-time,Northeast,Yes,1.5,1,2024-11-23,2024-11-13,None,Standard,Third-Party,Yes,0.809,2506,0.612,65008.32,455,3.1,151,38,Low
11484,27,Female,Single,69705.02,Contract,West,No,4.5,0,2024-03-12,2024-02-25,Email,Silver,Direct,New Hire,0.246,2582,0.613,65007.07,574,4.7,437,28,Low
19748,34,Female,Married,53798.15,Full-time,Midwest,No,2.8,0,2024-10-18,2024-10-16,Email,Basic,Employer-Sponsored,Yes,0.188,2488,0.617,64921.46,595,4.4,469,18,High
11244,48,Female,Single,86392.37,Full-time,Midwest,Yes,0.1,1,2024-10-26,2024-10-25,Email,Premium,Third-Party,New Hire,0.833,2488,0.617,64921.46,595,4.4,469,18,High
13436,41,Male,Married,75041.16,Full-time,Midwest,Yes,4.4,1,2024-09-09,2024-09-08,Phone,Standard,Employer-Sponsored,Yes,0.835,2488,0.617,64921.46,595,4.4,469,18,High
14618,47,Male,Married,79850.86,Full-time,South,No,1.2,1,,2024-08-22,Phone,Standard,Direct,Yes,0.95,2424,0.628,65200.49,481,3.3,324,17,Medium
17980,27,Male,Single,76330.39,Full-time,Northeast,Yes,13.3,1,2024-03-10,2024-03-09,Phone,Silver,Third-Party,No,0.803,2506,0.612,65008.32,455,3.1,151,38,Low
19993,50,Male,Married,66466.59,Full-time,Northeast,No,2.9,1,2024-06-23,2024-05-26,Email,Standard,Third-Party,Yes,0.917,2506,0.612,65008.32,455,3.1,151,38,Low
17750,33,Male,Married,44421.52,Full-time,West,No,1.7,0,2024-08-31,2024-08-02,Email,Unknown,Direct,No,0.057,2582,0.613,65007.07,574,4.7,437,28,Low
16702,42,Male,Married,89966.53,Full-time,West,Yes,0.6,1,2024-01-05,2023-12-07,Email,Premium,Direct,New Hire,0.801,2582,0.613,65007.07,574,4.7,437,28,Low
13618,34,Male,Single,81058.0,Full-time,South,Yes,2.7,1,2024-01-23,2024-01-13,SMS,Standard,Third-Party,New Hire,0.808,2424,0.628,65200.49,481,3.3,324,17,Medium
18094,64,Male,Single,69965.72,Full-time,South,Yes,7.9,1,2024-10-23,2024-10-21,Unknown,Standard,Employer-Sponsored,Yes,,2424,0.628,65200.49,481,3.3,324,17,Medium
13237,50,Male,Single,44177.98,Full-time,South,Yes,1.6,1,2024-01-08,2023-12-10,Email,Basic,Direct,Yes,0.913,2424,0.628,65200.49,481,3.3,324,17,Medium
11420,45,Male,Single,52615.79,Full-time,South,Yes,1.1,1,,2024-07-25,Unknown,Basic,Direct,Yes,0.779,2424,0.628,65200.49,481,3.3,324,17,Medium
19117,57,Female,Single,74944.19,Full-time,South,No,4.9,1,2024-11-19,2024-10-30,Email,Silver,Direct,Yes,0.812,2424,0.628,65200.49,481,3.3,324,17,Medium
12254,52,Male,Married,59164.32,Full-time,Northeast,Yes,0.9,1,2024-05-23,2024-04-25,Email,Silver,Employer-Sponsored,New Hire,0.757,2506,0.612,65008.32,455,3.1,151,38,Low
13987,46,Male,Married,69261.7,Full-time,West,Yes,4.3,1,2024-09-10,2024-08-17,Email,Standard,Direct,No,,2582,0.613,65007.07,574,4.7,437,28,Low
19348,26,Male,Divorced,62622.75,Part-time,West,No,0.4,0,2024-09-24,2024-09-22,Email,Standard,Direct,New Hire,0.204,2582,0.613,65007.07,574,4.7,437,28,Low
13917,46,Male,Single,76193.41,Part-time,South,Yes,5.8,1,2024-12-21,2024-12-09,Unknown,Standard,Third-Party,Yes,0.88,2424,0.628,65200.49,481,3.3,324,17,Medium
