qemployee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled,application_date,last_contact_date,last_contact_channel,plan_tier_requested,broker_channel,prior_year_enrolled,legacy_propensity_score,outreach_notes
11443,63,Female,Married,44205.14,Full-time,West,Yes,1.4,1,2024-03-03,2024-02-18,Call,,Third-Party,0,0.725,Requested more time
14119,30,Male,Married,60665.82,Part-time,Northeast,Yes,0.0,0,08-Apr-2024,2024-04-03,Email,silver plan,Direct,-1,0.17,
15060,38,Male,Married,70007.31,Full-time,Midwest,Yes,2.8,1,11/03/2024,2024-02-14,none,Silver,Third-Party,1,0.918,Requested more time
19320,33,Male,Single,88847.41,Full-time,Northeast,Yes,7.9,1,15/02/2024,2024-01-24,email,PREMIUM,Direct,0,0.857,Declined - cost concern
17481,28,Female,Single,72116.53,Part-time,South,Yes,5.6,0,,2024-10-21,email,silver plan,Direct,0,0.072,Declined - cost concern
18558,27,Female,Married,54033.74,Contract,Northeast,Yes,11.4,0,07/08/2024,2024-07-17,sms,Basic,Direct,0,,Attended benefits webinar
10681,52,Male,Married,87143.25,Part-time,Midwest,Yes,1.3,1,2024-07-02,2024-06-18,phone,Gold Plan,Direct,1,0.98,
15895,49,Male,Married,88689.45,Contract,Midwest,Yes,0.3,1,2024-03-14,2024-02-18,email,Gold Plan,Direct,-1,0.99,Attended benefits webinar
18695,40,Female,Single,73376.29,Full-time,Midwest,Yes,1.1,1,2024-02-12,2024-01-30,Phone,silver plan,Third-Party,1,0.928,Attended benefits webinar
11798,42,Female,Single,91841.05,Full-time,South,No,2.2,1,,2024-11-22,Call,PREMIUM,Direct,1,0.892,Requested more time
10762,25,Female,Single,53350.82,Contract,South,No,1.1,0,2024-05-03,2024-04-28,email,Bronze,Direct,0,0.089,Declined - cost concern
16591,54,Female,Married,43217.2,Part-time,South,No,17.3,0,2024-12-22,2024-12-15,Phone,BASIC,Direct,0,0.219,Attended benefits webinar
11313,29,Female,Divorced,82902.23,Full-time,West,No,2.1,0,2024-07-27,2024-07-11,EMAIL,Standard,Third-Party,-1,0.234,
19134,53,Male,Single,68290.83,Full-time,South,Yes,0.0,1,2024-11-08,2024-10-20,none,STANDARD,Third-Party,-1,0.847,Follow-up scheduled
12737,22,Male,Single,69281.89,Contract,Northeast,Yes,2.7,0,2024-03-21,2024-03-18,N/A,Silver,Employer-Sponsored,-1,0.058,No response to first outreach
12763,61,Male,Divorced,65070.74,Full-time,South,No,5.2,1,18/06/2024,2024-05-23,N/A,silver plan,Employer-Sponsored,0,0.793,Attended benefits webinar
14248,63,Female,Single,69519.46,Full-time,West,Yes,4.8,1,2024-02-25,2024-01-31,email,standard,Direct,1,0.96,
10066,35,Male,Married,57443.29,Contract,West,Yes,3.5,0,2024-06-21,2024-06-20,e-mail,STANDARD,Direct,0,0.233,Spouse covered elsewhere
13874,61,Male,Married,113254.75,Full-time,Midwest,No,5.1,1,2024-06-03,2024-05-17,SMS,gold,Employer-Sponsored,1,0.903,No response to first outreach
13878,42,Male,Divorced,58546.47,Full-time,Northeast,Yes,7.3,1,2024-02-15,2024-02-03,phone,standard,Direct,1,0.875,No response to first outreach
14144,40,Female,Single,62569.39,Full-time,Northeast,Yes,6.8,1,2024-04-29,2024-04-06,,STANDARD,Employer-Sponsored,1,0.99,Requested more time
12171,41,Female,Widowed,65657.44,Full-time,Midwest,No,1.6,1,16/12/2024,2024-11-29,e-mail,standard,Direct,0,0.907,Follow-up scheduled
16079,46,Male,Single,61170.71,Full-time,Northeast,No,3.1,1,2024-07-18,2024-06-20,EMAIL,STANDARD,Employer-Sponsored,-1,0.781,No response to first outreach
13661,46,Male,Single,70732.44,Full-time,West,No,0.7,1,2024-06-17,2024-05-31,phone,Standard,Third-Party,-1,0.789,Requested more time
13004,44,Female,Single,50930.14,Full-time,Northeast,Yes,5.0,1,2024-11-11,2024-11-02,Text,Basic,Direct,1,0.841,Attended benefits webinar
17495,45,Female,Single,48989.45,Part-time,Midwest,No,1.6,0,2024-01-06,2023-12-22,PHONE,BASIC,Employer-Sponsored,0,0.011,No response to first outreach
16934,22,Female,Married,63067.76,Full-time,Midwest,Yes,2.6,1,18-Sep-2024,2024-08-30,,STANDARD,Third-Party,1,0.852,Follow-up scheduled
10602,27,Female,Married,91047.29,Full-time,Northeast,Yes,0.4,1,07-Oct-2024,2024-10-04,Call,Premium,Third-Party,-1,0.815,Spouse covered elsewhere
14706,43,Male,Divorced,56951.44,Full-time,South,No,6.4,0,2024-07-27,2024-07-07,email,STANDARD,Employer-Sponsored,0,0.181,Follow-up scheduled
11498,48,Male,Married,66610.36,Full-time,Midwest,Yes,5.6,1,24-Sep-2024,2024-09-21,email,STANDARD,Third-Party,1,0.802,Attended benefits webinar
11588,53,Female,Divorced,41881.23,Full-time,Northeast,Yes,3.2,1,2024-06-26,2024-06-01,none,,Direct,1,0.942,Attended benefits webinar
18723,30,Male,Married,76917.01,Full-time,West,No,0.4,0,2024-10-30,2024-10-07,SMS,Standard,Third-Party,-1,0.011,Spouse covered elsewhere
10949,58,Male,Married,68129.63,Full-time,South,Yes,1.0,1,,2024-07-24,e-mail,Silver,Employer-Sponsored,0,0.844,Requested more time
11986,23,Female,Single,50889.43,Full-time,Northeast,Yes,1.5,0,2024-12-13,2024-11-27,email,basic,Third-Party,0,0.107,Spouse covered elsewhere
18135,39,Female,Married,44278.18,Full-time,West,No,6.8,0,2024-01-18,2023-12-29,sms,BASIC,,0,0.101,Declined - cost concern
10724,55,Female,Married,64447.2,Full-time,Midwest,Yes,2.1,1,04-Sep-2024,2024-08-15,Phone,STANDARD,Third-Party,1,0.866,Follow-up scheduled
12676,63,Female,Single,76132.08,Full-time,Midwest,No,1.0,1,2024-08-19,2024-07-22,N/A,silver plan,Employer-Sponsored,1,0.843,No response to first outreach
12653,57,Female,Single,74785.32,Contract,Northeast,Yes,0.3,1,04-Sep-2024,2024-09-03,PHONE,STANDARD,Direct,-1,0.858,Attended benefits webinar
18945,53,Male,Married,93148.9,Full-time,West,No,12.3,1,2024-03-26,2024-03-22,PHONE,Premium,Employer-Sponsored,0,0.9,Follow-up scheduled
17867,27,Male,Married,40032.33,Full-time,West,Yes,0.5,0,2024-11-22,2024-11-10,Text,BASIC,Direct,-1,0.195,Declined - cost concern
17103,25,Female,Married,58537.88,Contract,South,No,0.1,0,14/10/2024,2024-10-13,none,STANDARD,Direct,-1,0.152,
12247,39,Male,Single,75638.22,Full-time,West,Yes,7.0,1,2024-03-11,2024-02-12,email,Standard,Direct,1,,
16531,40,Female,Married,71782.68,Full-time,South,Yes,1.5,1,19-Apr-2024,2024-03-21,none,standard,Employer-Sponsored,1,0.928,Attended benefits webinar
15297,37,Female,Married,46857.73,Full-time,West,Yes,2.5,1,01/02/2024,2024-01-09,email,BASIC,Direct,1,0.812,Declined - cost concern
18661,49,Male,Married,38545.55,Full-time,Northeast,No,0.0,0,2024-03-23,2024-03-28,none,Basic,Employer-Sponsored,-1,0.017,Requested more time
16205,34,Male,Single,57849.89,Full-time,South,Yes,2.4,1,2024-04-10,2024-03-12,PHONE,standard,Employer-Sponsored,-1,0.867,Spouse covered elsewhere
17646,37,Female,Single,59583.51,Contract,Northeast,No,1.9,0,2024-11-08,2024-11-02,email,Silver,Direct,1,0.158,Requested more time
18556,36,Male,Married,62684.11,Contract,West,Yes,2.1,1,2024-06-03,2024-05-17,Call,standard,Employer-Sponsored,1,0.834,Attended benefits webinar
12675,52,Male,Divorced,88264.12,Full-time,South,No,0.0,1,2024-11-22,2024-11-12,email,Gold,Third-Party,-1,0.934,
17301,32,Female,Married,43110.59,Full-time,Midwest,No,11.3,0,2024-03-13,2024-02-24,Email,,Third-Party,0,0.188,Attended benefits webinar
12285,64,Female,Single,41073.26,Full-time,West,Yes,14.2,1,2024-05-28,2024-05-19,EMAIL,,Third-Party,-1,0.962,Attended benefits webinar
13295,62,Female,Single,42866.8,Part-time,West,No,1.6,0,,2024-03-30,Phone,,Third-Party,0,0.115,Attended benefits webinar
14415,58,Male,Single,68114.98,Part-time,Northeast,No,8.4,0,2024-11-16,2024-10-25,e-mail,STANDARD,Direct,0,0.23,Follow-up scheduled
13946,38,Female,Married,50978.88,Full-time,Northeast,No,0.9,0,2024-11-03,2024-10-30,,basic,Employer-Sponsored,-1,0.052,No response to first outreach
12035,51,Male,Married,48227.28,Full-time,West,Yes,1.0,1,2024-07-03,2024-06-09,PHONE,Bronze,Direct,1,0.964,Declined - cost concern
17150,53,Male,Single,52396.87,Part-time,West,Yes,0.0,0,2024-05-11,2024-05-07,EMAIL,,Direct,-1,0.186,Requested more time
19116,25,Male,Divorced,77921.7,Full-time,West,Yes,2.1,1,2024-05-14,2024-04-26,Phone,standard,Third-Party,-1,0.941,Spouse covered elsewhere
18649,50,Male,Married,73714.89,Full-time,South,Yes,1.7,1,,2024-12-27,SMS,Standard,Employer-Sponsored,-1,0.776,Spouse covered elsewhere
11437,26,Female,Married,53787.28,Full-time,Northeast,Yes,1.4,0,2024-06-20,2024-06-06,Phone,basic,,-1,0.183,Follow-up scheduled
15931,34,Male,Single,80452.1,Full-time,Midwest,Yes,2.5,1,2024-03-08,2024-03-02,None,standard,Employer-Sponsored,1,0.923,
13855,48,Male,Divorced,59448.97,Full-time,West,No,7.5,0,2024-05-20,2024-05-15,SMS,Silver,Third-Party,1,0.211,No response to first outreach
13621,30,Male,Single,89448.32,Full-time,Northeast,Yes,2.3,1,2024-10-21,2024-09-24,e-mail,Premium,Employer-Sponsored,1,0.99,Declined - cost concern
19727,43,Female,Single,84850.69,Part-time,Northeast,No,0.6,0,2024-05-04,2024-04-25,Email,Silver,Third-Party,-1,0.112,Attended benefits webinar
13831,47,Male,Married,58138.72,Full-time,South,No,3.1,0,2024-11-06,2024-11-02,Call,STANDARD,Employer-Sponsored,0,0.126,No response to first outreach
14445,51,Female,Married,63654.2,Part-time,West,Yes,3.8,1,2024-12-13,2024-11-14,e-mail,Silver,Direct,1,0.858,Spouse covered elsewhere
13086,33,Male,Single,57694.01,Full-time,West,Yes,1.4,1,2024-12-06,2024-11-07,EMAIL,STANDARD,Employer-Sponsored,1,0.876,Requested more time
16243,27,Female,Single,86013.19,Full-time,West,Yes,1.8,1,2024-07-27,2024-07-13,Email,Premium,Employer-Sponsored,1,0.794,Spouse covered elsewhere
19939,39,Male,Married,79371.02,Full-time,South,Yes,1.3,1,13/10/2024,2024-09-23,PHONE,Standard,Employer-Sponsored,1,0.886,Spouse covered elsewhere
16387,28,Male,Married,79600.62,Contract,Midwest,No,9.5,0,2024-11-29,2024-11-06,EMAIL,Standard,Direct,0,0.092,Attended benefits webinar
11593,55,Female,Single,73299.17,Full-time,Midwest,Yes,7.9,1,2024-12-10,2024-12-09,SMS,standard,Employer-Sponsored,1,0.895,Follow-up scheduled
18838,57,Male,Widowed,71247.46,Full-time,Midwest,Yes,6.1,1,2024-01-04,2023-12-18,Phone,STANDARD,Employer-Sponsored,1,0.99,
15513,61,Male,Single,60166.58,Part-time,Midwest,Yes,5.7,1,02-Nov-2024,2024-10-28,,silver plan,Direct,1,0.958,Requested more time
17447,34,Female,Married,29783.99,Part-time,West,No,0.2,0,10-Sep-2024,2024-08-17,sms,basic,Third-Party,-1,0.213,Spouse covered elsewhere
11173,28,Male,Married,63664.55,Full-time,West,Yes,1.1,1,2024-06-02,2024-05-16,none,standard,Direct,1,0.823,Spouse covered elsewhere
12322,58,Female,Married,75952.28,Part-time,South,No,6.8,0,2024-10-15,2024-09-16,email,Standard,Direct,-1,0.134,Requested more time
19209,58,Female,Married,74228.83,Full-time,South,No,5.2,1,2024-08-07,2024-07-09,Call,Standard,Employer-Sponsored,-1,0.932,Follow-up scheduled
17959,32,Female,Married,54893.19,Contract,West,Yes,2.7,1,2024-02-28,2024-02-16,EMAIL,,Third-Party,0,,Spouse covered elsewhere
17011,26,Male,Divorced,60457.89,Full-time,South,No,0.4,0,30/04/2024,2024-04-04,email,Silver,Direct,-1,0.274,Follow-up scheduled
14320,22,Male,Divorced,70566.01,Full-time,Midwest,Yes,11.1,1,2024-04-13,2024-04-11,,Silver,Direct,1,0.941,Requested more time
10271,39,Female,Single,60141.53,Contract,South,No,5.8,0,08-Jul-2024,2024-06-13,phone,Silver,Third-Party,0,0.148,Requested more time
17735,64,Male,Married,61364.91,Full-time,Northeast,Yes,12.0,1,2024-01-24,2024-01-14,None,STANDARD,Third-Party,-1,0.849,Attended benefits webinar
12999,55,Male,Single,77517.52,Full-time,Midwest,Yes,1.4,1,2024-12-03,2024-11-20,e-mail,STANDARD,Direct,1,,Declined - cost concern
16772,31,Male,Married,74837.94,Part-time,West,No,1.6,0,2024-04-04,2024-03-13,,standard,Employer-Sponsored,-1,0.286,Attended benefits webinar
10012,45,Male,Married,84280.76,Contract,West,Yes,8.8,1,04-May-2024,2024-04-24,email,silver plan,,1,0.865,
12259,56,Female,Married,62117.69,Part-time,Midwest,Yes,6.7,1,2024-08-27,2024-08-26,e-mail,STANDARD,,1,0.795,Requested more time
13384,59,Female,Divorced,80974.83,Full-time,West,Yes,2.2,1,2024-01-01,2023-12-25,None,standard,Direct,1,0.879,Follow-up scheduled
18669,37,Other,Divorced,91290.49,Full-time,South,Yes,0.6,1,2024-07-29,2024-07-25,email,premium plan,Direct,-1,0.768,Attended benefits webinar
11430,31,Female,Single,46514.85,Full-time,South,No,2.3,0,2024-09-13,2024-08-26,email,BASIC,Direct,1,0.093,No response to first outreach
12462,39,Male,Married,55242.66,Full-time,Midwest,Yes,0.0,1,2024-03-02,2024-02-21,EMAIL,silver plan,Employer-Sponsored,-1,0.987,Declined - cost concern
13319,56,Male,Single,79831.64,Part-time,South,Yes,3.0,1,2024-01-20,2024-01-05,none,silver plan,Employer-Sponsored,1,0.979,Attended benefits webinar
15298,39,Male,Divorced,61738.42,Full-time,Midwest,Yes,3.8,1,2024-10-19,2024-10-07,EMAIL,silver plan,Third-Party,0,0.792,Declined - cost concern
17755,55,Female,Married,67323.43,Full-time,West,Yes,3.1,1,2024-04-04,2024-03-29,Phone,STANDARD,Third-Party,-1,0.857,Spouse covered elsewhere
11236,58,Female,Married,68299.8,Full-time,South,Yes,8.9,1,,2024-02-05,Email,Silver,Employer-Sponsored,1,0.969,Requested more time
10676,42,Female,Married,54949.1,Full-time,South,Yes,6.9,1,,2024-06-11,e-mail,Bronze,Third-Party,0,0.99,
12238,42,Male,Married,58045.8,Part-time,Northeast,No,1.6,0,2024-08-25,2024-08-06,none,silver plan,Third-Party,-1,0.281,
18377,48,Female,Married,53034.69,Full-time,West,No,11.1,0,12/03/2024,2024-02-14,e-mail,Basic,Employer-Sponsored,-1,0.31,Attended benefits webinar
15046,63,Male,Married,74421.47,Full-time,Midwest,Yes,4.5,1,2024-01-11,2023-12-26,email,Standard,Employer-Sponsored,-1,0.857,Requested more time
13062,47,Male,Single,52431.55,Contract,Midwest,Yes,1.2,0,2024-06-29,2024-06-18,e-mail,basic,Direct,0,,No response to first outreach
10037,30,Other,Married,51333.12,Full-time,Midwest,No,2.5,0,31-Mar-2024,2024-03-28,sms,Basic,Third-Party,1,0.044,
15293,57,Female,Single,91279.6,Full-time,South,Yes,1.3,1,2024-11-28,2024-10-31,sms,gold,Employer-Sponsored,1,0.955,No response to first outreach
17744,24,Male,Single,59075.9,Full-time,West,Yes,1.5,0,2024-04-05,2024-04-04,Email,silver plan,Third-Party,0,0.086,Spouse covered elsewhere
15171,24,Male,Single,73751.24,Part-time,South,No,3.2,0,2024-02-04,2024-01-23,e-mail,silver plan,Employer-Sponsored,1,0.092,Follow-up scheduled
12036,32,Female,Married,76781.67,Full-time,Midwest,Yes,4.7,1,2024-04-23,2024-04-20,Email,standard,Direct,1,0.877,
15121,37,Male,Single,51797.76,Full-time,Midwest,Yes,0.2,1,,2024-09-19,phone,,Direct,-1,0.88,No response to first outreach
11666,29,Male,Widowed,49629.87,Full-time,West,Yes,8.6,0,2024-10-01,2024-09-18,,BASIC,Third-Party,0,0.212,No response to first outreach
17427,57,Male,Married,62801.96,Part-time,South,No,0.0,0,2024-01-16,2024-01-02,N/A,standard,Third-Party,-1,0.062,Declined - cost concern
14440,37,Female,Married,44270.29,Full-time,Midwest,Yes,6.7,1,2024-03-08,2024-02-11,N/A,Basic,Employer-Sponsored,1,0.837,Spouse covered elsewhere
19241,49,Female,Married,82621.94,Contract,South,No,11.6,0,,2024-11-06,e-mail,STANDARD,Employer-Sponsored,0,0.233,Declined - cost concern
17291,33,Male,Divorced,35440.96,Part-time,West,No,1.5,0,31/08/2024,2024-08-05,Email,Bronze,Employer-Sponsored,0,0.209,Declined - cost concern
10632,29,Male,Single,53971.78,Full-time,Midwest,No,6.8,0,2024-03-06,2024-02-13,,basic,Direct,0,0.113,No response to first outreach
12308,37,Female,Single,45317.63,Full-time,South,Yes,14.2,1,2024-05-04,2024-04-13,email,Bronze,Employer-Sponsored,1,0.825,Attended benefits webinar
17601,57,Female,Single,68610.63,Full-time,West,No,2.9,1,2024-07-19,2024-06-27,none,Standard,Direct,-1,,Follow-up scheduled
18249,45,Male,Widowed,56693.37,Full-time,Northeast,Yes,1.5,1,2024-11-23,2024-11-13,none,Standard,Third-Party,1,0.809,Follow-up scheduled
11484,27,Female,Single,69705.02,Contract,West,No,4.5,0,2024-03-12,2024-02-25,EMAIL,Silver,Direct,-1,0.246,Spouse covered elsewhere
19748,34,Female,Married,53798.15,Full-time,Midwest,No,2.8,0,2024-10-18,2024-10-16,EMAIL,Basic,Employer-Sponsored,1,0.188,Follow-up scheduled
11244,48,Female,Single,86392.37,Full-time,Midwest,Yes,0.1,1,2024-10-26,2024-10-25,e-mail,premium plan,Third-Party,-1,0.833,
13436,41,Male,Married,75041.16,Full-time,Midwest,Yes,4.4,1,2024-09-09,2024-09-08,phone,STANDARD,Employer-Sponsored,1,0.835,
14618,47,Male,Married,79850.86,Full-time,South,No,1.2,1,,2024-08-22,phone,standard,Direct,1,0.95,Follow-up scheduled
17980,27,Male,Single,76330.39,Full-time,Northeast,Yes,13.3,1,2024-03-10,2024-03-09,Phone,Silver,Third-Party,0,0.803,Declined - cost concern
19993,50,Male,Married,66466.59,Full-time,Northeast,No,2.9,1,2024-06-23,2024-05-26,EMAIL,Standard,Third-Party,1,0.917,Attended benefits webinar
17750,33,Male,Married,44421.52,Full-time,West,No,1.7,0,2024-08-31,2024-08-02,email,,Direct,0,0.057,No response to first outreach
16702,42,Male,Married,89966.53,Full-time,West,Yes,0.6,1,2024-01-05,2023-12-07,email,premium plan,Direct,-1,0.801,Spouse covered elsewhere
13618,34,Male,Single,81058.0,Full-time,South,Yes,2.7,1,23/01/2024,2024-01-13,Text,standard,Third-Party,-1,0.808,Declined - cost concern
18094,64,Male,Single,69965.72,Full-time,South,Yes,7.9,1,2024-10-23,2024-10-21,,STANDARD,Employer-Sponsored,1,,Requested more time
13237,50,Male,Single,44177.98,Full-time,South,Yes,1.6,1,2024-01-08,2023-12-10,Email,basic,Direct,1,0.913,Attended benefits webinar
11420,45,Male,Single,52615.79,Full-time,South,Yes,1.1,1,,2024-07-25,,BASIC,Direct,1,0.779,Attended benefits webinar
19117,57,Female,Single,74944.19,Full-time,South,No,4.9,1,2024-11-19,2024-10-30,EMAIL,Silver,Direct,1,0.812,
12254,52,Male,Married,59164.32,Full-time,Northeast,Yes,0.9,1,2024-05-23,2024-04-25,email,Silver,Employer-Sponsored,-1,0.757,
13987,46,Male,Married,69261.7,Full-time,West,Yes,4.3,1,2024-09-10,2024-08-17,e-mail,STANDARD,Direct,0,,Attended benefits webinar
19348,26,Male,Divorced,62622.75,Part-time,West,No,0.4,0,2024-09-24,2024-09-22,EMAIL,STANDARD,Direct,-1,0.204,Attended benefits webinar
13917,46,Male,Single,76193.41,Part-time,South,Yes,5.8,1,2024-12-21,2024-12-09,None,Standard,Third-Party,1,0.88,Declined - cost concern
19261,29,Female,Married,47574.92,Full-time,Midwest,No,3.1,0,2024-09-07,2024-08-22,e-mail,Bronze,Third-Party,1,0.17,Declined - cost concern
14990,36,Male,Widowed,91479.05,Full-time,South,Yes,0.7,1,2024-04-13,2024-04-05,None,PREMIUM,Direct,-1,0.695,Attended benefits webinar
14929,22,Male,Single,58130.55,Part-time,Northeast,Yes,9.1,0,24/05/2024,2024-04-25,Call,silver plan,Employer-Sponsored,-1,0.01,
12800,36,Female,Married,82305.22,Full-time,Northeast,Yes,3.5,1,2024-07-08,2024-07-04,Email,standard,Employer-Sponsored,-1,0.926,No response to first outreach
19925,53,Other,Married,51679.56,Full-time,West,Yes,25.2,1,22/04/2024,2024-04-18,email,BASIC,,-1,0.913,Attended benefits webinar
13330,26,Other,Married,60031.44,Contract,Northeast,Yes,1.8,0,2024-09-24,2024-08-26,SMS,Standard,Direct,1,0.141,Declined - cost concern
17972,50,Male,Married,44027.43,Full-time,Midwest,No,1.8,0,2024-06-05,2024-05-28,none,BASIC,Employer-Sponsored,0,0.267,Declined - cost concern
15633,64,Female,Married,78215.52,Part-time,Midwest,Yes,6.3,1,13/07/2024,2024-07-08,email,Standard,Third-Party,1,0.789,Spouse covered elsewhere
14464,51,Male,Married,41718.47,Contract,West,Yes,0.5,0,,2024-07-04,SMS,basic,Employer-Sponsored,-1,0.165,No response to first outreach
19958,43,Female,Single,71391.32,Full-time,South,Yes,12.2,1,17-Dec-2024,2024-12-11,e-mail,Standard,Direct,1,0.758,Attended benefits webinar
12689,48,Male,Married,65180.38,Full-time,Midwest,Yes,5.0,1,,2024-04-18,email,Silver,Employer-Sponsored,-1,0.862,Requested more time
10657,31,Female,Married,79357.44,Full-time,West,Yes,2.5,1,,2024-04-04,None,silver plan,,1,0.919,Attended benefits webinar
12475,53,Male,Married,40757.89,Part-time,Northeast,No,0.9,0,2024-11-23,2024-11-10,PHONE,,Direct,-1,0.154,
18562,59,Male,Single,84543.29,Part-time,Northeast,Yes,3.2,1,2024-12-13,2024-12-09,Call,silver plan,Direct,1,0.765,Attended benefits webinar
13882,25,Male,Married,58395.76,Full-time,West,Yes,4.0,0,2024-09-16,2024-09-02,PHONE,silver plan,Direct,0,0.228,Spouse covered elsewhere
18125,63,Male,Single,64215.96,Full-time,West,No,5.3,1,2024-04-18,2024-03-26,Phone,Silver,Employer-Sponsored,1,0.966,Follow-up scheduled
15648,51,Male,Single,92935.88,Full-time,Midwest,Yes,3.3,1,15-Aug-2024,2024-08-05,none,Gold Plan,Third-Party,1,0.848,
13907,53,Female,Married,68495.3,Full-time,Midwest,No,0.8,1,2024-05-18,2024-05-07,SMS,silver plan,Direct,-1,0.95,
12468,43,Male,Widowed,105403.66,Full-time,West,No,5.1,1,29-Oct-2024,2024-10-06,Email,gold,Employer-Sponsored,1,0.86,Follow-up scheduled
16814,33,Female,Single,69448.92,Full-time,Northeast,Yes,3.8,1,2024-02-13,2024-01-21,,silver plan,Third-Party,1,0.895,No response to first outreach
12140,59,Other,Married,27956.69,Full-time,Midwest,No,4.5,0,2024-05-31,2024-05-08,Text,Bronze,Employer-Sponsored,0,0.157,Requested more time
18355,32,Male,Single,58273.91,Full-time,West,Yes,3.4,1,2024-11-12,2024-10-27,,standard,Direct,-1,,
16058,58,Male,Single,69788.68,Full-time,West,Yes,20.8,1,2024-01-12,2024-01-05,EMAIL,Standard,Employer-Sponsored,1,0.817,Declined - cost concern
11024,26,Male,Single,46580.16,Part-time,South,Yes,1.2,0,2024-11-19,2024-10-31,none,Bronze,Employer-Sponsored,-1,0.212,No response to first outreach
17784,63,Female,Single,54718.05,Full-time,South,Yes,2.0,1,2024-01-29,2024-01-07,PHONE,Bronze,Third-Party,1,0.824,Requested more time
13637,55,Male,Single,52322.79,Full-time,Midwest,Yes,12.5,1,,2024-01-30,EMAIL,basic,Third-Party,1,0.954,Spouse covered elsewhere
19419,46,Female,Married,42330.49,Full-time,West,Yes,16.6,1,10/05/2024,2024-04-13,N/A,,Direct,0,,Follow-up scheduled
11902,26,Female,Married,46253.31,Full-time,Midwest,Yes,1.4,0,,2024-09-20,e-mail,BASIC,Direct,1,0.01,No response to first outreach
19273,30,Male,Widowed,57240.72,Full-time,South,Yes,5.1,0,2024-03-16,2024-02-23,Email,STANDARD,Direct,0,,Spouse covered elsewhere
19973,59,Female,Single,51889.95,Contract,South,Yes,0.1,0,2024-06-02,2024-05-14,e-mail,Bronze,Employer-Sponsored,-1,0.136,Spouse covered elsewhere
15899,49,Female,Married,90988.83,Full-time,West,No,0.5,1,2024-05-12,2024-04-16,Email,gold,Employer-Sponsored,-1,0.8,
13081,32,Female,Married,69986.38,Full-time,Northeast,Yes,5.4,1,2024-04-07,2024-03-22,,Standard,Direct,1,0.99,Requested more time
15241,27,Male,Single,68000.93,Part-time,West,Yes,11.3,0,2024-08-12,2024-08-03,EMAIL,STANDARD,Third-Party,0,0.042,Spouse covered elsewhere
12406,38,Male,Divorced,43224.48,Full-time,Midwest,No,1.0,0,2024-08-14,2024-07-27,phone,Bronze,Third-Party,0,0.212,Attended benefits webinar
14039,39,Male,Single,55600.77,Full-time,Northeast,Yes,0.1,1,06-Jan-2024,2023-12-19,,silver plan,Direct,-1,0.94,
17819,34,Female,Married,71098.91,Part-time,Midwest,Yes,4.1,1,2024-11-13,2024-10-15,None,Standard,Direct,1,0.75,Spouse covered elsewhere
