employee_id,predicted_probability,predicted_enrollment,risk_category,recommended_action
12675,0.91,1,Low Risk,Standard enrollment notification
17301,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12285,0.98,1,Low Risk,Standard enrollment notification
13295,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14415,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13946,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12035,0.99,1,Low Risk,Standard enrollment notification
17150,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19116,0.99,1,Low Risk,Standard enrollment notification
18649,0.99,1,Low Risk,Standard enrollment notification
11437,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
15931,0.99,1,Low Risk,Standard enrollment notification
13855,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
13621,1.0,1,Low Risk,Standard enrollment notification
19727,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13831,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
14445,1.0,1,Low Risk,Standard enrollment notification
13086,0.99,1,Low Risk,Standard enrollment notification
16243,0.98,1,Low Risk,Standard enrollment notification
19939,1.0,1,Low Risk,Standard enrollment notification
16387,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11593,1.0,1,Low Risk,Standard enrollment notification
18838,1.0,1,Low Risk,Standard enrollment notification
15513,0.98,1,Low Risk,Standard enrollment notification
17447,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11173,0.97,1,Low Risk,Standard enrollment notification
12322,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19209,0.94,1,Low Risk,Standard enrollment notification
17011,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
14320,0.98,1,Low Risk,Standard enrollment notification
10271,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
17735,0.99,1,Low Risk,Standard enrollment notification
12999,1.0,1,Low Risk,Standard enrollment notification
16772,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
10012,0.99,1,Low Risk,Standard enrollment notification
12259,0.99,1,Low Risk,Standard enrollment notification
13384,1.0,1,Low Risk,Standard enrollment notification
18669,1.0,1,Low Risk,Standard enrollment notification
11430,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12462,0.96,1,Low Risk,Standard enrollment notification
13319,0.96,1,Low Risk,Standard enrollment notification
15298,1.0,1,Low Risk,Standard enrollment notification
17755,1.0,1,Low Risk,Standard enrollment notification
11236,1.0,1,Low Risk,Standard enrollment notification
10676,0.95,1,Low Risk,Standard enrollment notification
12238,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18377,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15046,1.0,1,Low Risk,Standard enrollment notification
13062,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10037,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15293,1.0,1,Low Risk,Standard enrollment notification
17744,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
15171,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12036,1.0,1,Low Risk,Standard enrollment notification
15121,0.98,1,Low Risk,Standard enrollment notification
11666,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
17427,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
14440,1.0,1,Low Risk,Standard enrollment notification
19241,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17291,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10632,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12308,0.98,1,Low Risk,Standard enrollment notification
17601,0.97,1,Low Risk,Standard enrollment notification
18249,0.98,1,Low Risk,Standard enrollment notification
11484,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19748,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11244,1.0,1,Low Risk,Standard enrollment notification
13436,1.0,1,Low Risk,Standard enrollment notification
14618,0.99,1,Low Risk,Standard enrollment notification
17980,0.93,1,Low Risk,Standard enrollment notification
19993,0.99,1,Low Risk,Standard enrollment notification
17750,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16702,0.99,1,Low Risk,Standard enrollment notification
13618,1.0,1,Low Risk,Standard enrollment notification
18094,1.0,1,Low Risk,Standard enrollment notification
13237,0.96,1,Low Risk,Standard enrollment notification
11420,0.97,1,Low Risk,Standard enrollment notification
19117,0.96,1,Low Risk,Standard enrollment notification
12254,0.97,1,Low Risk,Standard enrollment notification
13987,1.0,1,Low Risk,Standard enrollment notification
19348,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13917,0.99,1,Low Risk,Standard enrollment notification
19261,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
14990,1.0,1,Low Risk,Standard enrollment notification
14929,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12800,1.0,1,Low Risk,Standard enrollment notification
19925,0.97,1,Low Risk,Standard enrollment notification
13330,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
17972,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15633,0.99,1,Low Risk,Standard enrollment notification
14464,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19958,1.0,1,Low Risk,Standard enrollment notification
12689,1.0,1,Low Risk,Standard enrollment notification
10657,1.0,1,Low Risk,Standard enrollment notification
12475,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18562,0.98,1,Low Risk,Standard enrollment notification
13882,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
18125,1.0,1,Low Risk,Standard enrollment notification
15648,1.0,1,Low Risk,Standard enrollment notification
13907,0.97,1,Low Risk,Standard enrollment notification
12468,0.96,1,Low Risk,Standard enrollment notification
16814,1.0,1,Low Risk,Standard enrollment notification
12140,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18355,0.97,1,Low Risk,Standard enrollment notification
16058,1.0,1,Low Risk,Standard enrollment notification
11024,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17784,1.0,1,Low Risk,Standard enrollment notification
13637,0.99,1,Low Risk,Standard enrollment notification
19419,0.92,1,Low Risk,Standard enrollment notification
11902,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
19273,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
19973,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
15899,1.0,1,Low Risk,Standard enrollment notification
13081,1.0,1,Low Risk,Standard enrollment notification
15241,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
12406,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14039,0.93,1,Low Risk,Standard enrollment notification
17819,0.98,1,Low Risk,Standard enrollment notification
14348,1.0,1,Low Risk,Standard enrollment notification
17779,0.81,1,Low Risk,Standard enrollment notification
18691,1.0,1,Low Risk,Standard enrollment notification
18855,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19912,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
16464,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
16794,0.88,1,Low Risk,Standard enrollment notification
17267,1.0,1,Low Risk,Standard enrollment notification
14971,0.97,1,Low Risk,Standard enrollment notification
15099,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
15618,1.0,1,Low Risk,Standard enrollment notification
11699,0.99,1,Low Risk,Standard enrollment notification
18756,0.84,1,Low Risk,Standard enrollment notification
13693,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
16232,1.0,1,Low Risk,Standard enrollment notification
10057,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17805,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18921,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
11290,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15621,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12369,0.93,1,Low Risk,Standard enrollment notification
18846,1.0,1,Low Risk,Standard enrollment notification
18401,1.0,1,Low Risk,Standard enrollment notification
16360,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10346,1.0,1,Low Risk,Standard enrollment notification
16248,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14699,1.0,1,Low Risk,Standard enrollment notification
17846,0.96,1,Low Risk,Standard enrollment notification
11861,0.98,1,Low Risk,Standard enrollment notification
16313,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
18679,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15127,0.99,1,Low Risk,Standard enrollment notification
18775,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
12182,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15059,1.0,1,Low Risk,Standard enrollment notification
18805,1.0,1,Low Risk,Standard enrollment notification
12039,0.98,1,Low Risk,Standard enrollment notification
16328,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15687,0.9,1,Low Risk,Standard enrollment notification
10836,0.97,1,Low Risk,Standard enrollment notification
14030,1.0,1,Low Risk,Standard enrollment notification
19862,0.94,1,Low Risk,Standard enrollment notification
10572,0.99,1,Low Risk,Standard enrollment notification
16941,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
11158,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12261,0.19,0,High Risk,Personalized phone call with HR and benefits explanation
10883,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19855,0.93,1,Low Risk,Standard enrollment notification
15710,0.88,1,Low Risk,Standard enrollment notification
17789,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13115,0.96,1,Low Risk,Standard enrollment notification
14871,1.0,1,Low Risk,Standard enrollment notification
18011,0.96,1,Low Risk,Standard enrollment notification
11153,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12739,1.0,1,Low Risk,Standard enrollment notification
11770,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
12353,1.0,1,Low Risk,Standard enrollment notification
12552,1.0,1,Low Risk,Standard enrollment notification
11407,0.99,1,Low Risk,Standard enrollment notification
14518,0.95,1,Low Risk,Standard enrollment notification
10921,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
10404,0.98,1,Low Risk,Standard enrollment notification
19818,0.98,1,Low Risk,Standard enrollment notification
17564,0.99,1,Low Risk,Standard enrollment notification
11649,1.0,1,Low Risk,Standard enrollment notification
16097,0.19,0,High Risk,Personalized phone call with HR and benefits explanation
14495,0.89,1,Low Risk,Standard enrollment notification
16031,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15891,0.98,1,Low Risk,Standard enrollment notification
17843,1.0,1,Low Risk,Standard enrollment notification
19567,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12558,0.97,1,Low Risk,Standard enrollment notification
10439,1.0,1,Low Risk,Standard enrollment notification
14937,1.0,1,Low Risk,Standard enrollment notification
17157,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18771,0.98,1,Low Risk,Standard enrollment notification
10946,0.97,1,Low Risk,Standard enrollment notification
18440,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14574,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14533,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11461,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
15076,1.0,1,Low Risk,Standard enrollment notification
13836,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
14487,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12980,0.92,1,Low Risk,Standard enrollment notification
14477,1.0,1,Low Risk,Standard enrollment notification
11091,0.12,0,High Risk,Personalized phone call with HR and benefits explanation
15336,0.99,1,Low Risk,Standard enrollment notification
13641,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19738,1.0,1,Low Risk,Standard enrollment notification
18744,0.99,1,Low Risk,Standard enrollment notification
17273,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13468,0.9,1,Low Risk,Standard enrollment notification
17001,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15110,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12451,0.89,1,Low Risk,Standard enrollment notification
11196,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12346,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10738,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11436,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
14573,0.94,1,Low Risk,Standard enrollment notification
12520,0.99,1,Low Risk,Standard enrollment notification
18940,0.98,1,Low Risk,Standard enrollment notification
11412,0.96,1,Low Risk,Standard enrollment notification
18279,0.97,1,Low Risk,Standard enrollment notification
11647,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
10733,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11650,1.0,1,Low Risk,Standard enrollment notification
16386,1.0,1,Low Risk,Standard enrollment notification
13731,0.98,1,Low Risk,Standard enrollment notification
17021,0.97,1,Low Risk,Standard enrollment notification
13677,0.19,0,High Risk,Personalized phone call with HR and benefits explanation
18311,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12597,1.0,1,Low Risk,Standard enrollment notification
14351,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17801,0.92,1,Low Risk,Standard enrollment notification
15892,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13912,0.99,1,Low Risk,Standard enrollment notification
16781,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15130,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12532,0.99,1,Low Risk,Standard enrollment notification
10080,0.93,1,Low Risk,Standard enrollment notification
15699,1.0,1,Low Risk,Standard enrollment notification
15822,1.0,1,Low Risk,Standard enrollment notification
10100,1.0,1,Low Risk,Standard enrollment notification
11877,0.91,1,Low Risk,Standard enrollment notification
18615,0.97,1,Low Risk,Standard enrollment notification
11773,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
14643,0.83,1,Low Risk,Standard enrollment notification
10640,0.97,1,Low Risk,Standard enrollment notification
10068,0.98,1,Low Risk,Standard enrollment notification
18065,1.0,1,Low Risk,Standard enrollment notification
19752,1.0,1,Low Risk,Standard enrollment notification
13743,0.85,1,Low Risk,Standard enrollment notification
12721,0.99,1,Low Risk,Standard enrollment notification
18678,0.97,1,Low Risk,Standard enrollment notification
11137,1.0,1,Low Risk,Standard enrollment notification
12706,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14382,0.99,1,Low Risk,Standard enrollment notification
16152,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
19390,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19426,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11763,0.21,0,High Risk,Personalized phone call with HR and benefits explanation
17260,1.0,1,Low Risk,Standard enrollment notification
19885,0.95,1,Low Risk,Standard enrollment notification
13476,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
15844,1.0,1,Low Risk,Standard enrollment notification
12905,0.92,1,Low Risk,Standard enrollment notification
11900,1.0,1,Low Risk,Standard enrollment notification
17111,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10375,0.98,1,Low Risk,Standard enrollment notification
18647,0.93,1,Low Risk,Standard enrollment notification
19224,0.18,0,High Risk,Personalized phone call with HR and benefits explanation
10642,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19552,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
10176,0.81,1,Low Risk,Standard enrollment notification
10233,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10379,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
16377,0.99,1,Low Risk,Standard enrollment notification
16827,0.86,1,Low Risk,Standard enrollment notification
13301,0.91,1,Low Risk,Standard enrollment notification
13595,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12786,1.0,1,Low Risk,Standard enrollment notification
16842,1.0,1,Low Risk,Standard enrollment notification
15730,1.0,1,Low Risk,Standard enrollment notification
14989,1.0,1,Low Risk,Standard enrollment notification
10749,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18485,0.95,1,Low Risk,Standard enrollment notification
16012,0.98,1,Low Risk,Standard enrollment notification
11226,0.98,1,Low Risk,Standard enrollment notification
19911,0.97,1,Low Risk,Standard enrollment notification
15561,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16682,0.96,1,Low Risk,Standard enrollment notification
18292,0.99,1,Low Risk,Standard enrollment notification
11415,0.96,1,Low Risk,Standard enrollment notification
19759,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19322,1.0,1,Low Risk,Standard enrollment notification
10174,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11875,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19684,0.87,1,Low Risk,Standard enrollment notification
13672,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
17105,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18804,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11269,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
13707,1.0,1,Low Risk,Standard enrollment notification
19032,1.0,1,Low Risk,Standard enrollment notification
17069,0.98,1,Low Risk,Standard enrollment notification
17067,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13607,1.0,1,Low Risk,Standard enrollment notification
10421,0.9,1,Low Risk,Standard enrollment notification
10864,0.35,0,Medium Risk,Reminder email with enrollment benefits
19850,0.96,1,Low Risk,Standard enrollment notification
17410,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
19711,0.96,1,Low Risk,Standard enrollment notification
11344,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19450,1.0,1,Low Risk,Standard enrollment notification
15072,1.0,1,Low Risk,Standard enrollment notification
18599,0.15,0,High Risk,Personalized phone call with HR and benefits explanation
13525,0.94,1,Low Risk,Standard enrollment notification
16060,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
19717,1.0,1,Low Risk,Standard enrollment notification
18149,0.88,1,Low Risk,Standard enrollment notification
15676,0.93,1,Low Risk,Standard enrollment notification
15147,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14949,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17726,1.0,1,Low Risk,Standard enrollment notification
16655,0.96,1,Low Risk,Standard enrollment notification
14853,1.0,1,Low Risk,Standard enrollment notification
18696,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
19112,0.24,0,High Risk,Personalized phone call with HR and benefits explanation
15993,1.0,1,Low Risk,Standard enrollment notification
15280,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13546,1.0,1,Low Risk,Standard enrollment notification
12574,0.97,1,Low Risk,Standard enrollment notification
10508,1.0,1,Low Risk,Standard enrollment notification
19507,0.94,1,Low Risk,Standard enrollment notification
19926,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11814,0.98,1,Low Risk,Standard enrollment notification
12760,0.96,1,Low Risk,Standard enrollment notification
10501,1.0,1,Low Risk,Standard enrollment notification
13434,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
16376,0.91,1,Low Risk,Standard enrollment notification
11286,0.95,1,Low Risk,Standard enrollment notification
16107,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17452,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
15195,0.24,0,High Risk,Personalized phone call with HR and benefits explanation
16877,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16093,0.98,1,Low Risk,Standard enrollment notification
13518,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15177,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18429,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
11643,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
17494,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13362,1.0,1,Low Risk,Standard enrollment notification
17204,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18071,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14883,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18949,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
14057,0.97,1,Low Risk,Standard enrollment notification
18573,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12839,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
18621,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16211,0.73,1,Low Risk,Standard enrollment notification
11901,0.92,1,Low Risk,Standard enrollment notification
13960,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19572,0.99,1,Low Risk,Standard enrollment notification
11819,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
17329,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
15148,0.98,1,Low Risk,Standard enrollment notification
12499,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15805,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
13735,0.93,1,Low Risk,Standard enrollment notification
18618,1.0,1,Low Risk,Standard enrollment notification
14516,1.0,1,Low Risk,Standard enrollment notification
13550,0.97,1,Low Risk,Standard enrollment notification
17453,1.0,1,Low Risk,Standard enrollment notification
19811,1.0,1,Low Risk,Standard enrollment notification
12209,1.0,1,Low Risk,Standard enrollment notification
19283,1.0,1,Low Risk,Standard enrollment notification
13184,1.0,1,Low Risk,Standard enrollment notification
12092,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17691,1.0,1,Low Risk,Standard enrollment notification
16125,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12953,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
16711,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
19118,1.0,1,Low Risk,Standard enrollment notification
17474,1.0,1,Low Risk,Standard enrollment notification
19483,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
15558,0.99,1,Low Risk,Standard enrollment notification
14701,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
14353,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18737,0.87,1,Low Risk,Standard enrollment notification
10061,1.0,1,Low Risk,Standard enrollment notification
13475,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
19039,0.92,1,Low Risk,Standard enrollment notification
14278,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10624,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
13544,0.99,1,Low Risk,Standard enrollment notification
18858,0.9,1,Low Risk,Standard enrollment notification
18502,0.25,0,High Risk,Personalized phone call with HR and benefits explanation
16557,1.0,1,Low Risk,Standard enrollment notification
13605,1.0,1,Low Risk,Standard enrollment notification
10164,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18795,1.0,1,Low Risk,Standard enrollment notification
18705,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12255,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19333,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
14666,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17122,1.0,1,Low Risk,Standard enrollment notification
18604,1.0,1,Low Risk,Standard enrollment notification
10797,0.99,1,Low Risk,Standard enrollment notification
15292,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17569,1.0,1,Low Risk,Standard enrollment notification
19109,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15795,0.8,1,Low Risk,Standard enrollment notification
10113,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15592,0.95,1,Low Risk,Standard enrollment notification
11687,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15554,1.0,1,Low Risk,Standard enrollment notification
16026,0.99,1,Low Risk,Standard enrollment notification
15537,0.97,1,Low Risk,Standard enrollment notification
16546,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
10923,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
15216,0.95,1,Low Risk,Standard enrollment notification
18919,1.0,1,Low Risk,Standard enrollment notification
12044,1.0,1,Low Risk,Standard enrollment notification
17073,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13063,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
18983,0.96,1,Low Risk,Standard enrollment notification
12085,1.0,1,Low Risk,Standard enrollment notification
14838,1.0,1,Low Risk,Standard enrollment notification
11422,0.94,1,Low Risk,Standard enrollment notification
11546,1.0,1,Low Risk,Standard enrollment notification
17804,0.99,1,Low Risk,Standard enrollment notification
16641,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
12568,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
14826,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
19198,0.97,1,Low Risk,Standard enrollment notification
